id_student,id_student_original,id_year,id_grade,id_class_group,id_school,id_student_16_19,id_school_16_19
1,33613.0,2016,3,A,2415.0,14374.0,569.0
2,19294.0,2016,3,A,1842.0,8001.0,273.0
3,19587.0,2016,3,,1432.0,8142.0,82.0
4,29985.0,2016,3,A,2280.0,12800.0,505.0
5,6982.0,2016,3,A,2040.0,2606.0,390.0
6,37650.0,2016,3,A,2367.0,16186.0,546.0
7,19325.0,2016,3,B,2344.0,8015.0,534.0
8,18837.0,2016,3,B,1663.0,7787.0,192.0
9,40779.0,2016,3,,1911.0,,329.0
10,22106.0,2016,3,A,2081.0,9248.0,410.0
11,14814.0,2016,3,C,1842.0,,273.0
12,27886.0,2016,3,A,2030.0,11834.0,385.0
13,2031.0,2016,3,A,1945.0,468.0,346.0
14,5279.0,2016,3,B,1881.0,,288.0
15,37605.0,2016,3,A,1826.0,,
16,19348.0,2016,3,A,2002.0,8030.0,371.0
17,19353.0,2016,3,C,1538.0,8033.0,132.0
18,35034.0,2016,3,A,2272.0,15003.0,501.0
19,23328.0,2016,3,A,2457.0,9796.0,589.0
20,4333.0,2016,3,A,1266.0,1454.0,5.0
21,13294.0,2016,3,A,2469.0,5398.0,595.0
22,30408.0,2016,3,D,2034.0,12982.0,387.0
23,19395.0,2016,3,A,2338.0,8047.0,531.0
24,4534.0,2016,3,A,1747.0,1538.0,230.0
25,3172.0,2016,3,A,1270.0,944.0,7.0
26,19404.0,2016,3,B,2383.0,8052.0,554.0
27,19407.0,2016,3,A,1683.0,8054.0,199.0
28,35799.0,2016,3,A,1788.0,,249.0
29,19412.0,2016,3,B,1780.0,8056.0,245.0
30,19413.0,2016,3,A,1354.0,8057.0,44.0
31,11969.0,2016,3,B,2038.0,4808.0,389.0
32,21688.0,2016,3,E,2473.0,,597.0
33,19427.0,2016,3,A,1734.0,8066.0,224.0
34,34366.0,2016,3,,2085.0,14710.0,412.0
35,8729.0,2016,3,,2282.0,3360.0,
36,24606.0,2016,3,,2284.0,10357.0,507.0
37,26658.0,2016,3,A,1757.0,11283.0,234.0
38,19463.0,2016,3,A,1792.0,8078.0,251.0
39,,2016,3,A,2284.0,,507.0
40,24881.0,2016,3,A,2060.0,10490.0,399.0
41,22196.0,2016,3,A,1887.0,9287.0,317.0
42,21773.0,2016,3,,2282.0,9087.0,
43,41479.0,2016,3,,1751.0,,231.0
44,40726.0,2016,3,,2437.0,17446.0,580.0
45,37411.0,2016,3,,2344.0,16069.0,
46,19495.0,2016,3,A,1524.0,8093.0,125.0
47,2333.0,2016,3,,1773.0,601.0,
48,19496.0,2016,3,A,2140.0,8094.0,437.0
49,19497.0,2016,3,A,1402.0,8095.0,67.0
50,10598.0,2016,3,,2518.0,4209.0,
51,18106.0,2016,3,,1564.0,,145.0
52,19516.0,2016,3,,2553.0,8106.0,
53,7458.0,2016,3,,2276.0,,503.0
54,15613.0,2016,3,,1492.0,6401.0,
55,12355.0,2016,3,A,1534.0,4978.0,130.0
56,35616.0,2016,3,,2075.0,15265.0,407.0
57,10536.0,2016,3,,2097.0,4172.0,418.0
58,19536.0,2016,3,B,2289.0,8119.0,509.0
59,19540.0,2016,3,B,2120.0,8121.0,427.0
60,19544.0,2016,3,U,2116.0,8124.0,425.0
61,23895.0,2016,3,A,2302.0,10038.0,514.0
62,38780.0,2016,3,C,1915.0,,331.0
63,11936.0,2016,3,A,2559.0,4791.0,312.0
64,10328.0,2016,3,D,2229.0,4072.0,480.0
65,,2016,3,M,2106.0,,421.0
66,19574.0,2016,3,,1810.0,8136.0,260.0
67,19575.0,2016,3,A,2451.0,8137.0,586.0
68,19576.0,2016,3,C,1542.0,8138.0,134.0
69,1624.0,2016,3,A,2525.0,86.0,303.0
70,7949.0,2016,3,B,1540.0,3034.0,133.0
71,12785.0,2016,3,A,1796.0,5172.0,253.0
72,34380.0,2016,3,A,1663.0,14715.0,192.0
73,2015.0,2016,3,B,1305.0,457.0,22.0
74,3429.0,2016,3,A,1426.0,1061.0,79.0
75,39544.0,2016,3,A,2427.0,16975.0,575.0
76,19608.0,2016,3,A,2360.0,8152.0,542.0
77,13809.0,2016,3,,2537.0,5616.0,308.0
78,18117.0,2016,3,,1552.0,7473.0,139.0
79,18044.0,2016,3,B,1812.0,7445.0,261.0
80,19619.0,2016,3,B,1476.0,8158.0,101.0
81,19620.0,2016,3,A,1486.0,8159.0,106.0
82,16843.0,2016,3,A,1600.0,6929.0,162.0
83,35313.0,2016,3,B,2527.0,15123.0,304.0
84,27357.0,2016,3,B,2036.0,11586.0,388.0
85,37541.0,2016,3,,2083.0,16134.0,411.0
86,13922.0,2016,3,B,2383.0,5660.0,554.0
87,32436.0,2016,3,A,1701.0,13860.0,208.0
88,15698.0,2016,3,A,2205.0,6434.0,469.0
89,13655.0,2016,3,A,2543.0,5548.0,607.0
90,19645.0,2016,3,A,1828.0,8176.0,266.0
91,6263.0,2016,3,A,2099.0,2288.0,
92,28030.0,2016,3,A,2049.0,11901.0,394.0
93,19651.0,2016,3,A,1703.0,8178.0,209.0
94,19660.0,2016,3,A,2360.0,8182.0,542.0
95,10522.0,2016,3,A,2453.0,4166.0,587.0
96,24783.0,2016,3,A,1830.0,10447.0,267.0
97,19671.0,2016,3,B,2038.0,8186.0,389.0
98,19673.0,2016,3,A,2190.0,8187.0,461.0
99,9342.0,2016,3,C,2543.0,3637.0,607.0
100,24685.0,2016,3,A,1983.0,10394.0,363.0
101,26465.0,2016,3,C,2457.0,11201.0,589.0
102,13334.0,2016,3,A,1614.0,5417.0,169.0
103,15113.0,2016,3,C,2038.0,6186.0,389.0
104,23104.0,2016,3,,1673.0,9696.0,
105,17971.0,2016,3,,2400.0,7413.0,
106,13423.0,2016,3,C,2457.0,5448.0,589.0
107,22217.0,2016,3,A,2491.0,,601.0
108,9172.0,2016,3,A,2483.0,3556.0,289.0
109,3322.0,2016,3,,2553.0,1024.0,
110,34769.0,2016,3,A,2375.0,14883.0,550.0
111,20781.0,2016,3,,1554.0,8662.0,140.0
112,33592.0,2016,3,A,1687.0,14366.0,201.0
113,17576.0,2016,3,A,2352.0,7242.0,538.0
114,9087.0,2016,3,A,2400.0,3517.0,562.0
115,34955.0,2016,3,C,2539.0,14967.0,606.0
116,19732.0,2016,3,,2429.0,8220.0,
117,21911.0,2016,3,A,2392.0,,558.0
118,19737.0,2016,3,B,2518.0,8224.0,300.0
119,16914.0,2016,3,B,1909.0,6955.0,328.0
120,3472.0,2016,3,A,1508.0,1084.0,117.0
121,19744.0,2016,3,B,1520.0,8226.0,123.0
122,36501.0,2016,3,,2429.0,15681.0,
123,19746.0,2016,3,A,2064.0,8227.0,401.0
124,25346.0,2016,3,A,2229.0,10702.0,480.0
125,16446.0,2016,3,A,2138.0,6761.0,436.0
126,8964.0,2016,3,,1598.0,3460.0,161.0
127,30601.0,2016,3,,1977.0,13067.0,360.0
128,30386.0,2016,3,C,2128.0,12968.0,431.0
129,19767.0,2016,3,A,1394.0,8239.0,63.0
130,2041.0,2016,3,,1460.0,472.0,93.0
131,25745.0,2016,3,A,1276.0,10873.0,9.0
132,14651.0,2016,3,A,2529.0,5979.0,
133,40386.0,2016,3,,1644.0,,183.0
134,36521.0,2016,3,A,2531.0,15687.0,305.0
135,19782.0,2016,3,B,2091.0,8245.0,415.0
136,27142.0,2016,3,,2371.0,,548.0
137,33407.0,2016,3,,1362.0,14283.0,48.0
138,17184.0,2016,3,A,2142.0,7068.0,438.0
139,19791.0,2016,3,A,2516.0,8249.0,299.0
140,17170.0,2016,3,B,2168.0,,451.0
141,19796.0,2016,3,C,1540.0,8252.0,133.0
142,4631.0,2016,3,B,2289.0,1582.0,509.0
143,36038.0,2016,3,B,2506.0,15465.0,604.0
144,11645.0,2016,3,A,1285.0,4658.0,13.0
145,1702.0,2016,3,B,1775.0,315.0,243.0
146,5108.0,2016,3,C,2034.0,1789.0,387.0
147,17374.0,2016,3,,1616.0,7153.0,170.0
148,9940.0,2016,3,B,2126.0,3904.0,430.0
149,29011.0,2016,3,A,1424.0,12347.0,78.0
150,19846.0,2016,3,B,1757.0,8269.0,234.0
151,19848.0,2016,3,A,2128.0,8271.0,431.0
152,19849.0,2016,3,B,2441.0,8272.0,582.0
153,31729.0,2016,3,,1683.0,13557.0,
154,9813.0,2016,3,A,2040.0,3844.0,390.0
155,19855.0,2016,3,B,1867.0,8275.0,282.0
156,29276.0,2016,3,B,1504.0,12452.0,115.0
157,19857.0,2016,3,,2276.0,8277.0,503.0
158,40633.0,2016,3,,1538.0,17397.0,132.0
159,18978.0,2016,3,,1414.0,7866.0,
160,26280.0,2016,3,B,2383.0,11108.0,554.0
161,1825.0,2016,3,A,2148.0,367.0,441.0
162,4231.0,2016,3,C,1410.0,1409.0,71.0
163,,2016,3,,1590.0,,157.0
164,19932.0,2016,3,C,1334.0,8306.0,34.0
165,19900.0,2016,3,A,1592.0,8293.0,158.0
166,19914.0,2016,3,,2284.0,8297.0,507.0
167,17585.0,2016,3,A,1360.0,7247.0,47.0
168,41467.0,2016,3,,1332.0,,33.0
169,8048.0,2016,3,A,2245.0,3074.0,487.0
170,32375.0,2016,3,D,2475.0,13841.0,598.0
171,4455.0,2016,3,U,1370.0,1505.0,
172,19949.0,2016,3,A,1422.0,8311.0,77.0
173,19953.0,2016,3,,2253.0,8313.0,
174,7612.0,2016,3,C,1270.0,2884.0,7.0
175,19956.0,2016,3,A,1338.0,8315.0,36.0
176,19967.0,2016,3,A,1665.0,8317.0,193.0
177,7606.0,2016,3,C,1486.0,2881.0,106.0
178,19986.0,2016,3,B,1771.0,8325.0,241.0
179,19987.0,2016,3,C,1486.0,8326.0,106.0
180,19989.0,2016,3,A,1338.0,8327.0,36.0
181,38054.0,2016,3,B,1926.0,16363.0,337.0
182,19991.0,2016,3,A,2089.0,8329.0,414.0
183,14595.0,2016,3,B,1838.0,5954.0,271.0
184,19186.0,2016,3,B,1759.0,,235.0
185,17019.0,2016,3,A,2062.0,,400.0
186,10011.0,2016,3,C,1414.0,3938.0,73.0
187,11386.0,2016,3,B,2427.0,,575.0
188,24222.0,2016,3,A,1338.0,10190.0,36.0
189,35486.0,2016,3,,1911.0,15207.0,329.0
190,31296.0,2016,3,A,2392.0,13375.0,558.0
191,20232.0,2016,3,B,1299.0,8434.0,19.0
192,36342.0,2016,3,A,2473.0,15610.0,597.0
193,24751.0,2016,3,A,1747.0,10433.0,230.0
194,20012.0,2016,3,B,2200.0,8344.0,466.0
195,7733.0,2016,3,B,2091.0,2940.0,415.0
196,20025.0,2016,3,A,2101.0,8349.0,419.0
197,20039.0,2016,3,C,2512.0,8355.0,298.0
198,38016.0,2016,3,,1971.0,,
199,9123.0,2016,3,A,2012.0,3535.0,376.0
200,20046.0,2016,3,B,2118.0,8360.0,426.0
201,100045.0,2016,3,,2178.0,,456.0
202,40113.0,2016,3,A,1546.0,17214.0,136.0
203,25455.0,2016,3,B,1492.0,10750.0,109.0
204,9006.0,2016,3,C,2225.0,3481.0,478.0
205,20093.0,2016,3,A,2322.0,8373.0,523.0
206,36171.0,2016,3,,2207.0,15528.0,470.0
207,31878.0,2016,3,B,1400.0,13625.0,66.0
208,36244.0,2016,3,C,2475.0,15563.0,598.0
209,24863.0,2016,3,A,1450.0,10483.0,89.0
210,20109.0,2016,3,A,2506.0,8381.0,604.0
211,10622.0,2016,3,A,2012.0,4221.0,376.0
212,28696.0,2016,3,A,1426.0,12206.0,79.0
213,24295.0,2016,3,A,1671.0,10221.0,195.0
214,37222.0,2016,3,B,1832.0,15980.0,268.0
215,4850.0,2016,3,,1852.0,1679.0,
216,14537.0,2016,3,A,1685.0,5930.0,200.0
217,31362.0,2016,3,A,1358.0,13406.0,46.0
218,15022.0,2016,3,B,2350.0,6141.0,537.0
219,5468.0,2016,3,,2194.0,,463.0
220,22137.0,2016,3,,1268.0,,6.0
221,13614.0,2016,3,B,1476.0,5527.0,101.0
222,3198.0,2016,3,B,1687.0,961.0,201.0
223,20172.0,2016,3,B,1424.0,8409.0,78.0
