id_student,gender_x,birth_year,repeat,frequency_of_skips,homeworks_day_per_week,extent_of_teachers_affinity,birth_country,nazionality_country,weight,frequency_of_computer_usage,frequency_of_internet_usage,frequency_of_work_with_teachers,frequency_of_materials_in_class,frequency_of_evaluations,extent_of_teacher_performance,extent_of_class_env,living_with,extent_of_classmates_affinity,extent_of_school_satisfaction,extent_of_math_affinity,extent_of_reading_affinity,capital_island,sex,abroad_students_country_no_spanish,abroad_students_country_spanish,number_of_teachers_1_education,number_of_mandatory_teachers_2_education,teachers_in_school,number_of_teachers_1_education_more_5_years,number_of_mandatory_teachers_2_education_more_5_years,teachers_changed_school_last_year,attitude_teacher_training_courses,d18d,age_x,group_criteria_random,group_criteria_subjects,group_criteria_other,group_criteria_alphabet,group_criteria_gender,group_criteria_language,group_criteria_performance,group_criteria_homogeneity,group_criteria_heterogeneity,degree_of_agreement_satisfaction_students_results,degree_of_agreement_expected_students_results,degree_of_agreement_students_improvement,school_teacher_training_plan,school_teacher_training_plan_main_theme,years_of_teaching,years_in_school,years_as_principal,years_as_principal_in_school,class_hours_per_week,number_of_principlas_10_years,number_of_students,number_of_groups,number_of_preschool_students,number_of_preschool_groups,number_of_primary_students,number_of_primary_groups,degree_of_agreement,degree_of_factors_limiting_effectiveness,degree_of_inconveniences,degree_of_management,degree_of_problems,degree_of_satisfaction,number_of_groups_evaluated_grade,island,number_of_school_resources,public_or_private,rate_4_grade_mandatory_2_education_students_different_nationality,rate_3_grade_mandatory_2_education_students_different_nationality,rate_6_grade_mandatory_2_education_students_different_nationality,respondent,number_of_people_in_household,mother_age,father_age,mother_education_level,father_education_level,mother_employment_status,father_employment_status,mother_place_of_birth,father_place_of_birth,student_place_of_birth,extent_of_years_in_spanish_education_system,language_spoken_at_home,extent_of_start_schooling_age,number_of_tech_at_home,extent_of_books_at_home,visits_in_school_by_mother,visits_in_school_by_father,has_been_recommended_school,number_of_homework_hours_a_week,parental_education_expectations,mother_occupation,father_occupation,number_of_children_in_household,type_of_family_unit,monthly_household_income,number_of_people_in_household,ESCS,frequency_of_lecture_at_home,frequency_of_tech_at_home,frequency_of_see_adult_read,extent_of_interest_in_interview,frequency_of_support_at_home,frequency_of_parent_involved_in_school_activities,agreement_of_family_satisfaction,agreement_of_teacher_satisfaction,gender_y,age_y,number_of_years_as_teacher,numer_of_years_in_school,has_taught_same_group_last_two_years,number_of_students_in_group,number_of_students_disadvanteged_economic_situation,number_of_foreign_students_speaking_spanish,number_of_foreign_students_not_speaking_spanish,number_of_teaching_hours_per_week,average_explanation_time,extent_of_individual_training_incidence,seat_configuration,behaviour_problems_solution_categorical,number_of_meetings_with_families,is_enrolled_in_school_training_plan,number_of_training_hours_last_six_years,number_of_training_ceu_offer,main_topic_of_pfc,extent_of_evaluation_variety,extent_of_pfc_incidence,extent_of_work_hampered,extent_of_family_interest,agreement_of_family_support,agreement_of_work_facilitated_by_management,extent_of_positive_relationships,number_of_special_attention_students,extent_of_student_involvement_during_class,extent_of_teaching_methods_variety,agreement_of_opinion_on_school,agreement_of_class_behaviour,extent_of_resource_variety,extent_of_good_work_by_non_teachers,number_of_individual_training_topics,subjects_taught
35,2.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,,,,,,,,,,,,,,,,5,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,2.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,2.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2.0,,,,,,,,,,,,,,,,5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
