id_student,score_MAT,level_MAT,score_LEN,level_LEN,score_ING,level_ING
1,564.87,3.0,535.15,3.0,,
2,388.34,1.0,293.7,1.0,,
3,386.59,1.0,514.81,3.0,,
4,487.76,2.0,449.25,2.0,,
5,709.79,4.0,598.72,3.0,,
6,376.2,1.0,517.68,3.0,,
7,450.79,2.0,487.39,2.0,,
8,459.33,2.0,600.93,4.0,,
9,,,,,,
10,592.76,3.0,549.85,3.0,,
11,309.92,1.0,340.8,1.0,,
12,594.08,3.0,649.9,4.0,,
13,678.29,4.0,638.19,4.0,,
14,350.83,1.0,,,,
15,539.5,3.0,402.49,2.0,,
16,550.76,3.0,603.47,4.0,,
17,547.81,3.0,637.63,4.0,,
18,449.15,2.0,479.76,2.0,,
19,709.79,4.0,352.85,1.0,,
20,540.81,3.0,621.49,4.0,,
21,548.58,3.0,589.98,3.0,,
22,661.45,4.0,571.74,3.0,,
23,548.79,3.0,649.9,4.0,,
24,551.2,3.0,612.76,4.0,,
25,523.86,3.0,455.77,2.0,,
26,709.79,4.0,668.26,4.0,,
27,594.08,3.0,657.75,4.0,,
28,528.34,3.0,422.16,2.0,,
29,,,497.23,2.0,,
30,562.58,3.0,447.04,2.0,,
31,431.0,2.0,599.93,3.0,,
32,366.58,1.0,320.34,1.0,,
33,458.45,2.0,536.7,3.0,,
34,479.78,2.0,549.19,3.0,,
35,292.86,1.0,257.22,1.0,,
36,571.87,3.0,585.34,3.0,,
37,459.54,2.0,574.51,3.0,,
38,624.59,4.0,587.55,3.0,,
39,,,,,,
40,583.36,3.0,539.57,3.0,,
41,584.78,3.0,475.67,2.0,,
42,633.34,4.0,520.34,3.0,,
43,,,,,,
44,,,,,,
45,615.84,4.0,451.57,2.0,,
46,405.51,2.0,508.51,3.0,,
47,558.09,3.0,,,,
48,679.94,4.0,668.26,4.0,,
49,,,447.04,2.0,,
50,525.06,3.0,590.09,3.0,,
51,,,,,,
52,529.54,3.0,638.19,4.0,,
53,475.4,2.0,544.99,3.0,,
54,367.67,1.0,312.49,1.0,,
55,522.11,3.0,567.76,3.0,,
56,505.26,3.0,445.16,2.0,,
57,511.17,3.0,464.28,2.0,,
58,491.7,2.0,590.98,3.0,,
59,661.89,4.0,464.95,2.0,,
60,611.14,4.0,668.26,4.0,,
61,470.48,2.0,612.76,4.0,,
62,280.06,1.0,253.24,1.0,,
63,569.9,3.0,560.91,3.0,,
64,491.59,2.0,555.05,3.0,,
65,,,,,,
66,359.03,1.0,470.81,2.0,,
67,525.06,3.0,458.54,2.0,,
68,709.79,4.0,488.39,2.0,,
69,547.26,3.0,594.52,3.0,,
70,439.42,2.0,365.01,1.0,,
71,450.14,2.0,592.97,3.0,,
72,462.83,2.0,555.38,3.0,,
73,518.94,3.0,590.76,3.0,,
74,561.59,3.0,546.32,3.0,,
75,537.09,3.0,451.68,2.0,,
76,558.86,3.0,585.12,3.0,,
77,633.89,4.0,519.23,3.0,,
78,447.95,2.0,617.95,4.0,,
79,462.28,2.0,447.37,2.0,,
80,307.95,1.0,383.25,1.0,,
81,602.5,4.0,544.33,3.0,,
82,471.79,2.0,478.88,2.0,,
83,530.75,3.0,590.87,3.0,,
84,384.84,1.0,470.36,2.0,,
85,402.56,2.0,355.83,1.0,,
86,709.79,4.0,544.33,3.0,,
87,440.19,2.0,457.76,2.0,,
88,557.11,3.0,591.75,3.0,,
89,709.79,4.0,668.26,4.0,,
90,544.2,3.0,628.35,4.0,,
91,576.58,3.0,505.74,3.0,,
92,410.22,2.0,524.54,3.0,,
93,612.34,4.0,645.04,4.0,,
94,514.56,3.0,527.63,3.0,,
95,475.08,2.0,528.07,3.0,,
96,571.44,3.0,528.07,3.0,,
97,602.06,4.0,587.0,3.0,,
98,444.01,2.0,603.36,4.0,,
99,547.48,3.0,506.18,3.0,,
100,257.75,1.0,345.11,1.0,,
101,447.51,2.0,525.86,3.0,,
102,579.86,3.0,459.86,2.0,,
103,563.78,3.0,564.34,3.0,,
104,529.65,3.0,549.74,3.0,,
105,668.34,4.0,475.12,2.0,,
106,461.29,2.0,515.14,3.0,,
107,372.15,1.0,353.62,1.0,,
108,443.47,2.0,542.45,3.0,,
109,384.84,1.0,365.01,1.0,,
110,453.2,2.0,471.25,2.0,,
111,709.79,4.0,668.26,4.0,,
112,445.33,2.0,448.14,2.0,,
113,460.64,2.0,442.39,2.0,,
114,585.54,3.0,622.04,4.0,,
115,384.4,1.0,491.92,2.0,,
116,508.98,3.0,455.99,2.0,,
117,450.36,2.0,529.73,3.0,,
118,555.9,3.0,606.35,4.0,,
119,336.5,1.0,486.95,2.0,,
120,628.2,4.0,512.38,3.0,,
121,437.56,2.0,562.9,3.0,,
122,709.79,4.0,668.26,4.0,,
123,528.01,3.0,543.33,3.0,,
124,669.65,4.0,649.9,4.0,,
125,486.67,2.0,477.88,2.0,,
126,559.62,3.0,592.97,3.0,,
127,308.94,1.0,390.99,1.0,,
128,491.04,2.0,452.34,2.0,,
129,629.4,4.0,453.89,2.0,,
130,434.94,2.0,569.09,3.0,,
131,388.23,1.0,461.3,2.0,,
132,629.84,4.0,598.72,3.0,,
133,,,,,,
134,374.56,1.0,353.07,1.0,,
135,550.54,3.0,572.96,3.0,,
136,452.44,2.0,597.28,3.0,,
137,668.34,4.0,588.21,3.0,,
138,527.14,3.0,590.43,3.0,,
139,469.5,2.0,544.55,3.0,,
